t,expected_x,expected_y,predicted_x,predicted_y,absolute_x_error,absolute_y_error,point_l1_error
6.049405472718361,59.657204,46.032295,59.657203487290595,46.032295888039705,5.127094055978887e-07,8.880397075472501e-07,1.4007491131451388e-06
6.085393308095033,59.68938867558287,46.04852517549443,59.68934086722191,46.048607982094985,4.780836096074381e-05,8.280660055248745e-05,0.00013061496151323126
6.121381143471704,59.72157335116574,46.06475535098887,59.7215487907335,46.064797890951766,2.4560432237308305e-05,4.253996289804718e-05,6.710039513535548e-05
6.1573689788483765,59.7538606101145,46.08080784668772,59.75382728756469,46.08086556309999,3.332254981103233e-05,5.771641227170221e-05,9.103896208273454e-05
6.193356814225048,59.78619979750093,46.09677039959604,59.7861763792018,46.09681096132421,2.3418299129218667e-05,4.0561728170018796e-05,6.398002729923746e-05
6.22934464960172,59.818610162574956,46.112609668998566,59.818596078857794,46.112634062738856,1.4083717161383902e-05,2.4393740289951893e-05,3.8477457451335795e-05
6.265332484978392,59.851099664847446,46.128311868603035,59.85108639145286,46.12833485882194,1.3273394586121867e-05,2.299021890195263e-05,3.62636134880745e-05
6.301320320355064,59.88375916163651,46.14371962874657,59.88364731359587,46.14391335544704,0.00011184804063901765,0.0001937267004734622,0.00030557474111247984
6.337308155731736,59.91641865842558,46.15912738889009,59.91627883356684,46.1593695729138,0.00013982485873498263,0.00024218402371189995,0.0003820088824468826
6.3732959911084075,59.94907815521464,46.174535149033616,59.9489809313003,46.17470354597669,9.722391434507927e-05,0.00016839694307435593,0.0002656208574194352
6.40928382648508,59.98176181977874,46.18990104931721,59.981753578369606,46.18991532387213,8.241409133802335e-06,1.4274554921200888e-05,2.2515964055003224e-05
6.445271661861751,60.01465362622467,46.204906436892955,60.01459673797223,46.20500497034404,5.6888252444764476e-05,9.853345108723488e-05,0.00015542170353199936
6.481259497238423,60.0475454326706,46.21991182446871,60.04751036491599,46.21997256366766,3.5067754609485746e-05,6.073919895044355e-05,9.58069535599293e-05
6.517247332615096,60.080514035244306,46.234784197104204,60.08049440560627,46.234818196671725,1.9629638039475594e-05,3.399956752048183e-05,5.362920555995743e-05
6.553235167991767,60.11354887224636,46.24954184821943,60.11354879803408,46.24954197675901,7.421228076509578e-08,1.28539582533449e-07,2.0275186329854478e-07
6.589223003368439,60.1466734375464,46.264144085194125,60.146673471765304,46.26414402592517,3.4218906819205586e-08,5.926895596530812e-08,9.348786278451371e-08
6.625210838745111,60.17986962132657,46.27862227518712,60.179868347930686,46.27862448077589,1.2733958811850243e-06,2.205588771175826e-06,3.4789846523608503e-06
6.661198674121783,60.21313954446151,46.29297274473178,60.21313333921694,46.292983492542376,6.205244574175595e-06,1.0747810598843444e-05,1.6953055173019038e-05
6.697186509498454,60.24647813839052,46.307204272842355,60.24646834985879,46.307221227095155,9.788531734500339e-06,1.695425279990559e-05,2.6742784534405928e-05
6.733174344875127,60.279886420756704,46.32131509690738,60.27987327563195,46.321337864956156,1.3145124754032622e-05,2.2768048779653327e-05,3.591317353368595e-05
6.769162180251799,60.31335396547757,46.3353232754511,60.31334800384717,46.33533360130912,5.961630400008744e-06,1.0325858013970901e-05,1.6287488413979645e-05
6.80515001562847,60.34689389415999,46.34920608115898,60.346892413345174,46.34920864600828,1.480814816545717e-06,2.56484929650469e-06,4.045664113050407e-06
6.841137851005143,60.38052475895496,46.362931380727844,60.38050637449267,46.36296322358535,1.8384462293852266e-05,3.184285750990057e-05,5.0227319803752835e-05
6.877125686381814,60.41419565567243,46.37658734289737,60.41418974917927,46.37659757325477,5.906493157681325e-06,1.02303573967788e-05,1.6136850554460125e-05
6.913113521758486,60.44794717753362,46.390103658069236,60.4479423908155,46.39011194891728,4.786718122318234e-06,8.290848043657206e-06,1.307756616597544e-05
6.949101357135158,60.48180430994279,46.40343705020663,60.481764144331656,46.403506619161725,4.016561113218131e-05,6.956895509802052e-05,0.00010973456623020184
6.98508919251183,60.515689123779964,46.41672249665197,60.51565484617786,46.41678186726515,3.427760210428232e-05,5.93706131795102e-05,9.364821528379252e-05
7.021077027888502,60.54965237528399,46.42987208492488,60.54961432432491,46.429937991191196,3.80509590840461e-05,6.590626631464147e-05,0.00010395722539868757
7.057064863265174,60.5837193089718,46.442842090191704,60.58364239826628,46.44297530358666,7.691070552340307e-05,0.00013321339495320217,0.00021012410047660524
7.093052698641846,60.61778624265962,46.455812095458526,60.61773887902105,46.45589413177646,4.736363857205106e-05,8.203631793435306e-05,0.00012939995650640412
7.129040534018517,60.65191442191963,46.468676020166825,60.65190356913785,46.46869481775677,1.0852781777259679e-05,1.8797589945052096e-05,2.9650371722311775e-05
7.1650283693951895,60.686179137827025,46.48130345620674,60.686136262699854,46.4813777181864,4.287512717127129e-05,7.426197966253767e-05,0.00011713710683380896
7.201016204771861,60.72044385373443,46.49393089224665,60.72043674533071,46.49394320437649,7.108403721645118e-06,1.2312129840097441e-05,1.942053356174256e-05
7.237004040148533,60.75480892222039,46.5063845123322,60.75480479420153,46.50639166227839,4.128018858295945e-06,7.149946192441803e-06,1.1277965050737748e-05
7.272991875525205,60.78927517719176,46.518662872092754,60.78924017803891,46.51872349246985,3.499915285232191e-05,6.06203770985303e-05,9.561952995085221e-05
7.308979710901877,60.82375471610962,46.530918223357986,60.823742657133884,46.530939110139414,1.2058975734419164e-05,2.088678142797562e-05,3.2945757162394784e-05
7.344967546278549,60.858325909107194,46.543014824927205,60.85831198335198,46.543038945069085,1.3925755212085278e-05,2.4120141880246138e-05,3.8045897092331415e-05
7.380955381655221,60.89295328527245,46.555014114289314,60.89294790014422,46.55502344161519,5.385128226009783e-06,9.327325876995474e-06,1.4712454103005257e-05
7.416943217031893,60.92767015165005,46.56685840188775,60.92765014255919,46.56689305868755,2.0009090860639844e-05,3.465679979797187e-05,5.4665890658611715e-05
7.452931052408564,60.96243670022008,46.57861663731077,60.96241843725609,46.57864826972681,1.8262963990878234e-05,3.163241603942879e-05,4.9895380030307024e-05
7.488918887785236,60.997291001339754,46.59022288069351,60.99725250251883,46.590289562680134,3.849882092055168e-05,6.668198662396208e-05,0.00010518080754451375
7.524906723161909,61.032197175472334,46.601739277284324,61.0321520482711,46.601817439974944,4.512720123273084e-05,7.816269062033143e-05,0.00012328989185306227
7.56089455853858,61.06711882011641,46.61322887813397,61.06711677609249,46.613232418491116,2.0440239225649748e-06,3.540357148779094e-06,5.584381071344069e-06
7.596882393915252,61.102154538474494,46.62452089729959,61.10214637923566,46.62453502953121,8.159238831240145e-06,1.4132231619612412e-05,2.2291470450852557e-05
7.632870229291925,61.13724645993937,46.635715569722485,61.13724054264445,46.63572581878912,5.917294920720906e-06,1.0249066633605253e-05,1.616636155432616e-05
7.668858064668596,61.172400434686594,46.646802762590326,61.17239894297305,46.646805346316796,1.4917135473524468e-06,2.5837264701067397e-06,4.0754400174591865e-06
